plot	X	Y	Mitigada2	Mitigada3	Mitigada4	Water2	Water3	Water4
430146	354923	4593799	49.69	59.49	67.27	0.261	0.0266	0.0533
430153	365908	4592797	51.84	17.96	66.69	0.5261	0.7427	0.4455
430154	345866	4591803	48.63	49.24	58.52	0.0618	0.0356	0.0847
430157	360984	4591866	30.02	105.69	110.65	0.7018	0.0471	0.1112
430158	363837	4591765	20.14	22.46	29.64	0.4088	0.1558	0.1847
430159	364905	4591788	2.72	3.67	4.63	0.5622	0.1845	0.3428
430161	368884	4591819	104.16	100.36	153.16	0.3046	0.0358	0.121
430164	356921	4590856	5.39	19.26	14.48	0.7225	0.138	0.362
430165	357948	4590796	11.02	15.94	19.6	0.5119	0.0554	0.0855
430168	364905	4590796	11.14	13.01	26.61	0.5673	0.1406	0.091
430174	356943	4589786	25.5	67.18	78.43	0.6985	0.1401	0.1822
430175	358971	4589788	25.86	51.11	66.12	0.6053	0.1948	0.093
430177	363914	4589821	29.75	45.86	55.85	0.5765	0.0486	0.2771
430178	366006	4589934	148.94	199.04	268.2	0.4765	0.0461	0.1148
430180	348852	4588783	58.71	72.74	104.06	0.4141	0.2409	0.108
430181	356906	4588806	26.34	55.54	52.11	0.6223	0.0936	0.3406
430184	367892	4588816	21.06	81.68	64.8	0.7734	0.129	0.4466
430186	369820	4588786	23.93	28.33	38.29	0.4766	0.1085	0.169
430190	359902	4587812	19.94	61.99	76.44	0.7327	0.2335	0.2922
430194	368915	4587774	101.23	81.27	109.42	0.1174	0.0623	0.1159
430196	370891	4587867	79.04	82.21	101.12	0.5192	0.274	0.342
430199	363839	4586810	3.78	6.57	6.51	0.5261	0.0629	0.1136
430200	366861	4586797	7.98	14.1	16.34	0.6226	0.1797	0.2819
430203	369941	4586825	69.3	47.17	92.98	0.1929	0.1554	0.1061
430205	356932	4585749	32.84	28.21	27.02	0.0142	0.0407	0.1987
430208	365967	4585755	78.66	79.97	88.89	0.1061	0.0501	0.0518
430209	366967	4585822	63.96	77.95	109.96	0.5345	0.0261	0.1415
430211	368915	4585863	21.39	20.51	24.8	0.3265	0.0441	0.155
430212	370002	4585699	27.89	35.86	38.39	0.4241	0.0533	0.2044
430217	368971	4584821	134.36	105.69	145.94	0.1491	0.0579	0.1319
430219	370887	4584778	33.93	27.07	30.16	0.024	0.0944	0.0559
430222	358981	4583771	16.72	50.63	63.74	0.6207	0.0391	0.0334
430223	359918	4583853	19.84	18.94	20.67	0.0853	0.0547	0.1065
430224	360838	4583886	16.95	43.29	53.09	0.6426	0.0758	0.1007
430229	369938	4583782	44.42	54.81	51.59	0.3043	0.0445	0.1317
430233	354818	4582805	15.97	15.83	21.85	0.3387	0.0645	0.1636
430234	355906	4582798	88.12	85.17	107.02	0.2902	0.0988	0.2305
430236	360908	4582748	9.17	14.18	9.43	0.4659	0.0949	0.4992
430237	367861	4582766	43.56	80.08	83.84	0.6897	0.257	0.3445
430243	364013	4581818	59.68	74.11	85.34	0.5199	0.2112	0.2882
430244	366935	4581773	38.83	39.48	55.58	0.5087	0.227	0.3522
430246	369933	4581836	137.73	131.61	154.72	0.1372	0.0509	0.1072
430247	370906	4581781	69.66	87.18	109.25	0.4289	0.1992	0.1201
430250	352059	4580934	111.03	78.37	100.08	0.0567	0.0637	0.1291
430251	352928	4580788	93.9	106.49	120.49	0.1959	0.0619	0.0642
430254	368889	4580768	97.18	104.75	133.23	0.6646	0.3017	0.5213
430255	369906	4580796	56.43	52.64	59.27	0.2246	0.1915	0.2647
430256	370932	4580802	129.22	146.38	180.88	0.3118	0.022	0.082
430257	371987	4580820	56.58	57.4	70.48	0.3909	0.1451	0.1852
430262	349913	4579804	18.07	27.18	22.12	0.3671	0.0469	0.2873
430264	366909	4579782	21.24	59.59	69.42	0.747	0.1295	0.2129
430272	352896	4578775	37.43	49.33	55.67	0.2228	0.0382	0.0525
430273	366974	4578795	100.46	105.76	119	0.1935	0.0637	0.1051
430274	367977	4578817	79.27	112.2	116.38	0.398	0.0292	0.113
430275	368956	4578751	68.2	77.14	97.6	0.2564	0.0861	0.1126
430276	369889	4578700	26.4	40.47	39.67	0.4696	0.0264	0.2568
430279	366926	4577773	44.58	68.93	87.51	0.56	0.0689	0.143
430283	370928	4577798	38.4	47.84	64.56	0.4375	0.3337	0.1029
430284	372940	4584871	20.27	48	53.64	0.6796	0.0359	0.1835
430285	372853	4583797	5.55	5.76	3.01	0.5651	0.3328	0.6759
430286	373953	4582849	19.12	27.84	20.04	0.5538	0.2253	0.5183
430288	376907	4582821	5.13	18.08	12.15	0.7399	0.1538	0.4283
430291	376933	4581851	33.5	78.75	80.57	0.6278	0.1962	0.1371
430292	377917	4581695	29.5	64.51	55.63	0.601	0.0678	0.2687
430297	377949	4580745	21.46	39.71	27.47	0.5058	0.131	0.2863
430298	373036	4579842	62.76	109.17	138.87	0.611	0.1829	0.1796
430300	374924	4579804	6.77	10.93	11.58	0.457	0.0287	0.1125
430306	377864	4576828	11.09	13.75	13.87	0.4523	0.2387	0.2232
430307	287855	4577821	39.41	30.71	38.37	0.4746	0.3618	0.4664
430312	286820	4575786	35.49	30.5	38.43	0.3704	0.0457	0.2912
430313	288904	4575801	69.16	60.75	76.89	0.1726	0.046	0.1078
430314	285906	4574791	19.73	15.67	19.44	0.1105	0.0345	0.1342
430322	282890	4571800	86.67	76.12	61.34	0.0207	0.0293	0.3699
430324	284900	4571796	15.19	71.82	84.39	0.7584	0.0591	0.196
430328	281910	4570798	18.75	14.42	16.14	0.1306	0.2233	0.3656
430330	283899	4570791	51.46	37.1	39.78	0.311	0.4136	0.536
430333	286929	4570794	34.22	34.81	25.55	0.266	0.06	0.4076
430335	281907	4569800	45.67	67.31	77.81	0.4158	0.0955	0.2346
430339	279898	4567799	21.85	47.8	41.15	0.6609	0.2113	0.4775
430344	285899	4567768	96.6	110.23	99.44	0.333	0.1196	0.3492
430345	287877	4567799	6.69	15	11.2	0.7126	0.2554	0.5434
430353	282974	4566859	81.61	133.75	100.01	0.4039	0.0982	0.4737
430354	283904	4566799	110.76	98.23	106.1	0.1232	0.3221	0.2638
430356	285854	4566775	122.28	143.5	73.54	0.2219	0.1664	0.6607
430364	280889	4565786	49.49	28.67	55.9	0.3958	0.5405	0.5037
430366	282856	4565812	27.46	24.99	22.95	0.0263	0.1481	0.4029
430369	286891	4565840	102.74	111.37	101.3	0.3094	0.232	0.5647
430371	274859	4564814	35.43	13.86	22.48	0.3707	0.645	0.6782
430372	275858	4564811	20.19	14.2	24.04	0.2297	0.4557	0.3352
430378	281852	4564769	34.74	17	43.83	0.4593	0.6326	0.4532
430380	283894	4564743	79	85.06	104.24	0.1403	0.1362	0.1735
430393	276919	4562786	2.43	4.67	4.91	0.6716	0.3835	0.5964
430395	279993	4562685	71.72	63.46	52.54	0.5061	0.6155	0.6714
430400	286869	4562791	33.86	16.44	51.71	0.2444	0.4629	0.2541
430401	274885	4561779	22.18	22.86	35.53	0.4075	0.4785	0.4739
430406	283873	4561784	18.18	5.88	18.02	0.1708	0.6577	0.4739
430407	284925	4561795	80.2	22.86	64.51	0.1164	0.6536	0.5534
430408	285869	4561782	4.99	3.71	9.54	0.5076	0.5443	0.4864
430411	280915	4560748	32.6	22.15	37.85	0.2319	0.5166	0.4676
430414	283906	4560768	12.29	3.72	5.07	0.1011	0.5878	0.6942
430415	284815	4560894	44.07	34.63	91.61	0.5308	0.326	0.3635
430419	313980	4577837	74.14	50.61	96.6	0.356	0.4825	0.1665
430421	315881	4576903	13.21	9.38	11.13	0.4049	0.4289	0.5106
430426	313901	4575813	147.92	85.4	147.6	0.0655	0.4011	0.1432
430428	315949	4575807	195.21	149.07	196.79	0.3594	0.3482	0.3232
430430	303893	4574835	33.3	31.43	43.85	0.1555	0.0467	0.0753
