plot	X	Y	ErosIFN2	ErosIFN3	ErosIFN4
81241	419916	4634804	118.0611294	103.7037005	142.8417179
81242	421907	4634829	66.56648163	53.51083715	81.41217436
81243	422889	4634787	85.9506523	72.60567092	115.3776293
81245	424896	4634841	72.10362144	56.48957924	75.83278721
81246	426910	4634773	49.70346407	53.85389593	67.90210211
81248	403904	4633799	88.88696585	66.78958663	64.37987711
81253	410973	4633761	86.87124268	160.2749016	207.7097055
81258	420878	4633809	126.7146144	114.2764102	135.1960163
81259	421906	4633796	130.8196305	102.6391035	125.3274245
81260	422906	4633786	143.3264917	107.1502865	125.1979616
81261	423906	4633796	155.4475383	130.199844	84.54490672
81266	403886	4632816	98.81447635	117.3357893	109.5235074
81267	404906	4632796	11.80225424	18.45531036	17.6085554
81269	410936	4632783	3.843692256	5.97617776	0.317673223
81270	411890	4632790	39.59666755	37.80092284	45.23628467
81274	416903	4632833	5.724659368	20.46696448	25.07139218
81275	417918	4632820	26.30837372	24.05090554	31.01289895
81276	418894	4632789	29.41178032	80.6048592	86.84095656
81277	421882	4632828	13.43134511	40.71425968	30.71372792
81278	422910	4632826	84.10529023	97.3406316	108.2106273
81279	426917	4632781	134.9378797	104.5020313	133.1240868
81280	427880	4632841	114.6516536	98.48430198	134.4888761
81281	428934	4632857	60.79784455	73.59852206	81.18743515
81290	426911	4631806	38.80813685	39.18032715	55.49388194
81291	427887	4631800	49.34797356	68.78945209	86.15795817
81292	431892	4649815	140.0783079	109.0665313	127.9415855
81293	432910	4649830	174.5997404	100.2356255	126.7016556
81294	444908	4649787	68.92165643	9.214663629	22.02818721
81295	445946	4649822	327.392613	161.5975368	245.8883738
81296	446904	4649745	119.3862175	74.79562294	117.1079284
81302	445908	4648797	214.3936668	139.2105563	209.7465547
81304	449914	4648822	384.4337422	189.1729699	259.3044627
81308	453919	4648743	184.6017324	102.9344858	135.600707
81316	446975	4647819	56.79824398	36.71010886	58.08660554
81317	449907	4647795	408.6167467	252.9318339	443.7562603
81318	450854	4647856	266.3703086	152.1963105	231.7792617
81319	451928	4647801	53.571763	33.41137673	45.6203748
81323	429903	4646814	93.35504123	60.24637037	80.3063878
81324	431924	4646794	156.0686627	143.5438146	183.6680583
81326	443934	4646800	33.21964178	20.61953378	1.052948124
81328	446922	4646807	176.773735	159.5034229	293.3146278
81330	452908	4646793	493.4627967	217.6744473	289.7002831
81332	454951	4646825	77.11883578	96.71592187	222.6994827
81335	431911	4645800	16.64157424	11.34227376	16.17098396
81338	434914	4645809	87.37030082	69.37220263	82.93108314
81339	443884	4645804	65.64341644	42.04660203	55.41002391
81340	444877	4645866	20.4565637	9.034689431	27.01626844
81342	446905	4645789	127.8493472	78.90874749	126.5947736
81345	449895	4645744	20.9019996	19.23243949	27.38947203
81350	444907	4644851	190.9461684	119.7540981	188.3863244
81352	446909	4644783	89.15219881	77.26991127	121.9915124
81354	449907	4644855	35.0983315	32.71961647	45.59617881
81355	450878	4644825	83.57256936	47.8021416	60.78882565
81360	433904	4643792	6.583359019	6.052039465	7.479761827
81361	444907	4643855	46.13010444	40.33834086	75.61782972
81363	446904	4643797	33.73136716	21.57810761	31.14435159
81364	447907	4643795	184.381971	110.9273517	180.2919253
81366	449905	4643781	68.61881072	38.29994667	49.62516779
81368	451907	4643795	188.9692754	91.85265535	180.865935
81373	445882	4642822	187.6609888	124.8345952	203.6781343
81374	446915	4642787	100.9604533	50.71302391	85.44888676
81376	448859	4642816	35.33134223	26.97052627	35.30801629
81379	451799	4642759	402.2226378	182.5171046	234.2888742
81380	452977	4642827	73.76993903	61.07562275	81.94666409
81381	453954	4642820	127.3847327	90.78763405	106.8236344
81382	454949	4642810	35.7018881	25.50178467	22.93637537
81385	430843	4641839	65.25887273	73.38556763	66.30864678
81387	433888	4641788	45.40573908	67.00395288	115.6598186
81391	447930	4641788	153.0393861	108.7505926	124.0093161
81393	450940	4641818	33.7656758	21.83577515	27.97406847
81395	452854	4641741	149.4510338	140.3361145	149.5570868
81396	453913	4641797	73.21522086	46.9431319	52.49434583
81401	445886	4640808	99.53190155	56.5925319	85.12610649
81403	448925	4640803	46.02942074	28.68028984	38.76357514
81406	451918	4640767	251.0652166	164.2182378	159.1378959
81407	452931	4640804	392.2966856	289.7900284	314.0692646
81409	454990	4640759	405.8634744	252.9752192	290.2349415
81411	430924	4639792	19.97845581	9.333730034	13.24690482
81412	433871	4639791	79.16446671	71.35365392	107.8327414
81414	444908	4639791	135.6592287	98.57504773	119.8038484
81415	445887	4639807	176.1593005	138.8372535	182.7607367
81419	449997	4639791	121.2945008	77.52585465	100.2181653
81422	452932	4639756	159.4861248	135.7829566	156.7317228
81424	455982	4639756	35.85765092	13.02039381	6.210491664
81427	441935	4638808	67.72618779	47.56596321	54.94813284
81429	444896	4638831	98.40971571	79.10518575	102.9087992
81431	446932	4638795	59.17336608	53.62517967	64.70533551
81433	448923	4638787	261.9833908	183.658827	166.7708296
81434	449905	4638760	163.2716834	126.4989521	137.9154713
81435	450907	4638795	269.295021	185.1322992	222.1812796
81437	452949	4638786	160.2632097	164.6246539	170.5722965
81439	454910	4638802	120.9524818	83.78167754	101.5231934
81441	431857	4637750	162.107519	100.9936474	117.6359991
81442	432864	4637787	134.5514242	125.9090098	167.3019034
81443	433825	4637755	115.6786605	128.101514	154.5808272
81445	443886	4637765	76.99065775	63.07222962	82.7608634
81447	445881	4637757	68.39616231	46.43507169	56.63344834
81449	447907	4637545	244.490381	172.9823311	227.808012
81452	429896	4636769	81.66784997	77.54052588	97.72743269
81454	431903	4636772	134.2356508	109.0844244	116.563276
81457	443882	4636796	73.01107678	123.1642269	174.1288398
81458	447897	4636803	190.7290207	131.9226299	172.3757032
81461	430914	4635762	242.2705202	177.8770124	202.297089
81462	431931	4635784	226.1543954	161.3601457	198.7114988
81466	443852	4635754	41.94660264	96.50117843	148.1756974
81467	431854	4634793	213.0040932	145.9355131	121.089225
81468	432901	4634734	212.8304624	190.7410646	215.9015244
81471	443915	4634720	21.51490027	26.21139544	47.86945142
81472	430902	4633778	238.6636169	161.1243427	220.9341873
81473	441935	4633775	39.51931508	38.58917246	30.44278901
81475	429907	4632765	88.90795857	84.21024852	107.6724071
81477	432859	4632739	127.8072186	129.2138227	177.1383658
81481	441868	4632779	46.16995951	34.86344687	32.466437
81483	443869	4632788	95.01698165	75.03638985	79.85942419
81484	429917	4631811	11.15528082	21.56197004	30.88310195
81491	443857	4631848	174.861566	140.9273424	158.8069418
