ID	PLOTS	X	Y	SetasIFN2	SetasIFN3	SetasIFN4	MaderaIFN23	MaderaIFN34	AguaIFN2	AguaIFN4	CarbonoIFN2	CarbonoIFN4
563	430044	339927	4593768	12.559	4.513052095	5.272	7.869	3.364	0.149	0.086	3.125	0.83
541	430049	344899	4590787	23.038	13.5390171	10.376	5.125	1.424	0.07	0.175	1.921	-0.084
516	430053	336946	4587826	22.309	11.17861544	9.599	2.46	0.896	0.044	0.058	1.007	-0.3
502	430058	339882	4586777	27.55	18.44927877	18.795	4.352	2.706	0.218	0.035	2.222	0.681
500	430059	340839	4586732	33.156	27.78840286	26.777	2.991	1.018	0.375	0.102	0.886	0.087
491	430060	342931	4585769	32.698	25.1476746	17.626	3.241	0.858	0.546	0.306	1.222	-0.457
470	430064	332924	4583820	24.305	9.151103977	12.125	5.115	2.349	0.267	0.225	2.04	0.661
471	430065	336899	4583825	26.009	12.84311361	21.532	6.828	2.172	0.17	0.162	2.468	-0.227
469	430066	337898	4583814	8.959	9.204316026	11.56	9.705	2.223	0.106	0.073	1.073	-0.221
458	430068	334898	4582827	23.207	9.051442067	15.679	8.935	3.176	0.249	0.196	3.479	0.141
459	430071	337918	4582848	NA	NA	NA	1.121	0.252	0.491	0.445	1.326	-0.454
455	430073	342924	4582812	NA	NA	NA	0.187	0.075	0.351	0.453	0.157	0.073
438	430078	337891	4581802	NA	NA	NA	0	0	0.665	0.351	0.501	0.306
435	430081	340903	4581751	46.228	43.46382441	42.396	10.872	4.31	0.247	0.361	5.116	-2.501
443	430082	341930	4581821	NA	NA	NA	0.616	0.566	0.176	0.153	0.899	0.518
432	430088	331880	4580823	36.031	20.07679743	25.313	1.659	0.282	0.672	0.608	0.461	-0.091
421	430091	337910	4580757	NA	NA	NA	1.696	0.631	0.127	0.268	2.413	-1.719
428	430093	339920	4580790	NA	NA	NA	2.402	1.169	0.056	0.091	1.963	1.09
426	430094	340820	4580786	25.347	14.03210452	16.223	2.937	2.147	0.427	0.203	1.469	0.76
422	430097	343913	4580762	21.892	12.05738086	18.195	3.963	2.164	0.241	0.121	1.642	0.865
407	430101	329947	4579785	36.636	14.99694502	25.426	2.422	0.392	0.509	0.213	0.992	0.017
403	430104	334823	4579738	NA	NA	NA	1.977	1.262	0.04	0.085	2.66	1.474
413	430107	338927	4579814	NA	NA	NA	3.152	2.386	0.153	0.154	4.012	2.848
410	430108	339866	4579804	25.516	13.46136083	16.374	2.384	0.804	0.372	0.255	-0.788	-0.486
416	430112	344017	4579865	27.059	20.83990323	26.76	1.523	2.079	0.42	0.099	0.292	0.827
389	430113	318834	4578809	30.271	21.29021848	25.342	3.436	2.618	0.604	0.32	1.447	0.869
399	430114	319901	4578837	28.542	12.93305485	13.959	3.979	3.261	0.201	0.233	1.12	1.133
400	430118	333942	4578842	NA	NA	NA	4.795	3.217	0.06	0.135	0.52	1.103
395	430121	338933	4578825	NA	NA	NA	6.014	1.564	0.411	0.301	3.539	0.038
394	430125	342956	4578824	NA	NA	NA	1.832	1.073	0.247	0.376	2.117	0.754
